0	affects
1	result_of
2	isa
3	interacts_with
4	process_of
5	causes
6	location_of
7	produces
8	issue_in
9	complicates
10	associated_with
11	part_of
12	manifestation_of
13	measures
14	disrupts
15	performs
16	occurs_in
17	precedes
18	co-occurs_with
19	uses
20	assesses_effect_of
21	measurement_of
22	evaluation_of
23	treats
24	analyzes
25	diagnoses
26	exhibits
27	property_of
28	carries_out
29	degree_of
30	prevents
31	ingredient_of
32	indicates
33	method_of
34	conceptual_part_of
35	contains
36	consists_of
37	surrounds
38	adjacent_to
39	manages
40	developmental_form_of
41	connected_to
42	practices
43	interconnects
44	conceptually_related_to
45	derivative_of
